1	  know whether to laugh or not.   "Is he -- a bit mad?" he asked Percy uncertainly.   "Mad?" said 	Percy airily. "He's a genius! Best wizard in the world! But he is a bit mad, yes. 	 - Sorcerer's Stone.txt	0	13
20	 y at a joke Professor Flitwick had just read him.   Flaming Christmas puddings followed the turkey. 	Percy nearly broke his teeth on a silver sickle embedded in his slice. Harry watched Hagrid getting redde	 - Sorcerer's Stone.txt	0	36
21	  he didn't like Harry at all.   "Who's that teacher talking to Professor Quirrell?" he asked 	Percy.   "Oh, you know Quirrell already, do you? No wonder he's looking so nervous, that's Professor 	 - Sorcerer's Stone.txt	0	16
22	  right, dear, well, have a good term -- send me an owl when you get there."   She kissed 	Percy on the cheek and he left. Then she turned to the twins.   "Now, you two -- this year, 	 - Sorcerer's Stone.txt	0	6
23	 . They all ducked.   "Go away, Peeves, or the Baron'll hear about this, I mean it!" barked 	Percy.   Peeves stuck out his tongue and vanished, dropping the walking sticks on Neville's head. They he	 - Sorcerer's Stone.txt	0	23
24	 . Bill and Charlie have already left -- Bill was head boy and Charlie was captain of Quidditch. Now 	Percy's a prefect. Fred and George mess around a lot, but they still get really good marks 	 - Sorcerer's Stone.txt	0	7
25	  new, either, with five brothers. I've got Bill's old robes, Charlie's old wand, and 	Percy's old rat."   Ron reached inside his jacket and pulled out a fat gray rat, which was 	 - Sorcerer's Stone.txt	0	8
26	 . "I'm up front, the prefects have got two compartments to themselves --"   "Oh, are you a prefect, 	Percy?" said one of the twins, with an air of great surprise. "You should have said something, we 	 - Sorcerer's Stone.txt	0	3
27	  Ronnie got somefink on his nosie?" said one of the twins.   "Shut up," said Ron.   "Where's 	Percy?" said their mother.   "He's coming now."   The oldest boy came striding into sight. He had already	 - Sorcerer's Stone.txt	0	2
28	  chosen and not put in Slytherin, he hardly noticed that he was getting the loudest cheer yet. 	Percy the Prefect got up and shook his hand vigorously, while the Weasley twins yelled, "We got Potter! 	 - Sorcerer's Stone.txt	0	10
29	 d the other twin. "Once --"   "Or twice --"   "A minute --"   "All summer --"   "Oh, shut up," said 	Percy the Prefect.   "How come Percy gets new robes, anyway?" said one of the twins.   "Because he's 	 - Sorcerer's Stone.txt	0	4
30	 , Percy, come on, we're all wearing ours, even Harry got one."   "I -- don't -- want said 	Percy thickly, as the twins forced the sweater over his head, knocking his glasses askew.   "And you're 	 - Sorcerer's Stone.txt	0	34
31	 magic beyond all we do here! And now, bedtime. Off you trot!"   The Gryffindor first years followed 	Percy through the chattering crowds, out of the Great Hall, and up the marble staircase. Harry's legs 	 - Sorcerer's Stone.txt	0	19
32	  a sudden halt.   A bundle of walking sticks was floating in midair ahead of them, and as 	Percy took a step toward them they started throwing themselves at him.   "Peeves," Percy whispered to the	 - Sorcerer's Stone.txt	0	21
33	  cheered. Harry didn't know whether to laugh or not.   "Is he -- a bit mad?" he asked 	Percy uncertainly.   "Mad?" said Percy airily. "He's a genius! Best wizard in the world! But he is 	 - Sorcerer's Stone.txt	0	12
34	  bring silence.   "Prefects," he rumbled, "lead your Houses back to the dormitories immediately!"   	Percy was in his element.   "Follow me! Stick together, first years! No need to fear the troll if 	 - Sorcerer's Stone.txt	0	28
35	  see. Great Uncle Algie was so pleased he bought me my toad."   On Harry's other side, 	Percy Weasley and Hermione were talking about lessons ("I do hope they start right away, there's so 	 - Sorcerer's Stone.txt	0	14
36	  with the rest as Ron collapsed into the chair next to him.   "Well done, Ron, excellent," said 	Percy Weasley Pompously across Harry as "Zabini, Blaise," was made a Slytherin. Professor McGonagall roll	 - Sorcerer's Stone.txt	0	11
37	 're not stupid -- we know we're called Gred and Forge."   "What's all th is noise.   	Percy Weasley stuck his head through the door, looking disapproving. He had clearly gotten halfway throug	 - Sorcerer's Stone.txt	0	32
38	  of them, and as Percy took a step toward them they started throwing themselves at him.   "Peeves," 	Percy whispered to the first years. "A poltergeist." He raised his voice, "Peeves -- show yourself"   A l	 - Sorcerer's Stone.txt	0	22
39	 , "Mom, can't I go... \x93   "You're not old enough, Ginny, now be quiet. All right, 	Percy, you go first."   What looked like the oldest boy marched toward platforms nine and ten.   Harry wa	 - Sorcerer's Stone.txt	0	1
