1	 ," he said, "it's a Nimbus Two Thousand.   What did you say you've got at home, 	Malfoy, a Comet Two Sixty?" Ron grinned at Harry. "Comets look flashy, but they're not in the 	 - Sorcerer's Stone.txt	0	24
38	  gran sent him."   The Remembrall glittered in the sun as he held it up.   "Give that here, 	Malfoy," said Harry quietly. Everyone stopped talking to watch.   Malfoy smiled nastily.   "I think I'll lea	 - Sorcerer's Stone.txt	0	14
39	 eet, trembling. "What happened?" Hermione asked him, leading him over to sit with Harry and Ron.   "	Malfoy," said Neville shakily. "I met him outside the library. He said he'd been looking for someone 	 - Sorcerer's Stone.txt	0	28
40	 o laughter.   "Did you see his face, the great lump?"   The other Slytherins joined in.   "Shut up, 	Malfoy," snapped Parvati Patil.   "Ooh, sticking up for Longbottom?" said Pansy Parkinson, a hard-faced Slyt	 - Sorcerer's Stone.txt	0	12
41	  jump. Harry had only just raised his wand when they heard someone speak -and it wasn't 	Malfoy.   "Sniff around, my sweet, they might be lurking in a corner."   It was Filch speaking to Mrs. 	 - Sorcerer's Stone.txt	0	22
42	 hrough the tangled branches of an ancient oak.   "Look --" he murmured, holding out his arm to stop 	Malfoy.   Something bright white was gleaming on the ground. They inched closer.   It was the unicorn all rig	 - Sorcerer's Stone.txt	0	47
43	  might have broken your neck --"   "It wasn't his fault, Professor --"   "Be quiet, Miss Patil "But 	Malfoy --"   "That's enough, Mr. Weasley. Potter, follow me, now."   Harry caught sight of Malfoy, Crabbe, and Go	 - Sorcerer's Stone.txt	0	18
44	  utter rubbish! How dare you tell such lies! Come on -- I shall see Professor Snape about you, 	Malfoy!"   The steep spiral staircase up to the top of the tower seemed the easiest thing in the 	 - Sorcerer's Stone.txt	0	38
45	  week had been that the other two agreed with him. Anything to get rid of Norbert -- and 	Malfoy.   There was a hitch. By the next morning, Ron's bitten hand had swollen to twice its 	 - Sorcerer's Stone.txt	0	37
46	 t of jig.   "Malfoy's got detention! I could sing!"   "Don't," Harry advised her.   Chuckling about 	Malfoy, they waited, Norbert thrashing about in his crate. About ten minutes later, four broomsticks came s	 - Sorcerer's Stone.txt	0	39
47	  more than crack their knuckles and scowl.   "I'd take you on anytime on my own," said 	Malfoy. "Tonight, if you want.   Wizard's duel. Wands only -- no contact. What's the matter? Never heard 	 - Sorcerer's Stone.txt	0	21
48	  stunned.   "Give it here," Harry called, "or I'll knock you off that broom!" "Oh, yeah?" said 	Malfoy, trying to sneer, but looking worried.   Harry knew, somehow, what to do. He leaned forward and gras	 - Sorcerer's Stone.txt	0	15
49	  put it out of its misery."   "And what if whatever hurt the unicorn finds us first?" said 	Malfoy, unable to keep the fear out of his voice.   "There's nothin' that lives in the forest 	 - Sorcerer's Stone.txt	0	42
50	  as a point for Gryffindor before.   Harry, still cheering, nudged Ron in the ribs and pointed at 	Malfoy, who couldn't have looked more stunned and horrified if he'd just had the Body-Bind 	 - Sorcerer's Stone.txt	0	51
51	  cloak, watching them weigh dried nettles and crush snake fangs, criticizing almost everyone except 	Malfoy, whom he seemed to like. He was just telling everyone to look at the perfect way Malfoy 	 - Sorcerer's Stone.txt	0	8
